setting,method,x0_index,x0_1,n_reps,n_unlab_clusters,coverage,coverage_cluster_se,coverage_cluster_sd,bias,rmse,se_mean,width,emp_sd,omega_mean,omega_clipped_rate,omega_sd_mean,omega_min_mean,omega_max_mean,sigma2_Y_mean,sigma2_Y_minus_f_mean,sigma2_f_mean,tuning_seconds_mean_per_unlab_draw,estimation_seconds_mean,amortized_procedure_seconds_mean,x0_2,x0_3
base_q0_s1,LO,0,0.7,1000,50,0.944,0.0066455447712074,0.0469910977239957,-0.0278906862368892,0.3594734426326374,0.3267845762818177,1.2809955390247256,0.3585691529075142,,,,,,47.01628503412778,,,11.370885759796948,0.0033219098737463,0.5718661978635937,0.7,0.7
base_q0_s1,LO,1,0.7,1000,50,0.948,0.006540298938434,0.0462468973035389,-0.0369876758527116,0.3305616289231448,0.3096589779526018,1.2138631935741993,0.328650138086997,,,,,,44.023522750712246,,,11.36372777696699,0.0033221312323585,0.571508520080708,0.7,0.85
base_q0_s1,LO,2,0.7,1000,50,0.951,0.0080165644837703,0.0566856710829328,-0.0310256437772891,0.3308945118053243,0.3080208973726221,1.2074419177006792,0.3296016149773608,,,,,,44.69333741334584,,,11.365334635414182,0.0033227620469406,0.5715894938176497,0.85,0.7
base_q0_s1,LO,3,0.7,1000,50,0.929,0.007705020891521,0.0544827252157853,0.0078178851841453,0.3115884419314845,0.2902536373668463,1.1377942584780378,0.3116462115568154,,,,,,39.57600105340045,,,11.3846619046852,0.003334761088714,0.5725678563229739,0.85,0.85
base_q0_s1,LO,4,0.85,1000,50,0.94,0.0065465367070797,0.0462910049886275,-0.0224629984991091,0.3186428821673915,0.2940603319542201,1.152716501260543,0.3180091663525683,,,,,,43.15018445740539,,,11.38797388382256,0.0033338930364698,0.5727325872275978,0.7,0.7
base_q0_s1,LO,5,0.85,1000,50,0.924,0.0075916172889065,0.0536808406515883,-0.0100989274880437,0.3066390998388258,0.2804722004635842,1.0994510258172498,0.3066261058395697,,,,,,38.15759016222575,,,11.3816378422454,0.0033350023785606,0.5724168944908306,0.7,0.85
base_q0_s1,LO,6,0.85,1000,50,0.953,0.0059607560128643,0.0421489099769483,-0.0157631746854388,0.3025484373449716,0.2839549611528947,1.1131034477193475,0.3022886992949654,,,,,,39.64084459657322,,,11.26392232492566,0.0033322048904374,0.5665283211367205,0.85,0.7
base_q0_s1,LO,7,0.85,1000,50,0.927,0.0078519463335207,0.0555216449794536,-0.0230134578509756,0.2978160332829949,0.2718362976117748,1.0655982866381573,0.2970741043268849,,,,,,37.278428901572575,,,11.286751673445105,0.0033360814396291,0.5676736651118844,0.85,0.85
base_q0_s1,PPCI,0,0.7,1000,50,0.925,0.0088352263406092,0.0624744845876282,0.0045833732924769,0.6009639993012461,0.5823965250590963,2.282994378231657,0.6012472198395389,1.0,,,,,58.40145387821176,174.87505995366746,152.95511981104008,11.370885759796948,0.0033632469307631,0.5719075349206105,0.7,0.7
base_q0_s1,PPCI,1,0.7,1000,50,0.927,0.0081076934992358,0.0573300505309174,-0.0053160585488277,0.5382919113463787,0.5353174863373957,2.098444546442592,0.5385349954123008,1.0,,,,,51.45939431603009,148.04538288469368,121.84142316268787,11.36372777696699,0.0033630097834393,0.5715493986317888,0.7,0.85
base_q0_s1,PPCI,2,0.7,1000,50,0.932,0.0072506157373997,0.0512695955569324,-0.0118499905693903,0.4993082044325062,0.497946188129285,1.9519490574667973,0.499417338921602,1.0,,,,,51.10287853370062,128.34475636764952,94.82717193589156,11.365334635414182,0.0033645399753004,0.5716312717460095,0.85,0.7
base_q0_s1,PPCI,3,0.7,1000,50,0.912,0.0088709569692914,0.0627271382860004,0.0447284796646187,0.468629224552301,0.4622341581379654,1.8119578999008248,0.4667231982183207,1.0,,,,,43.645998091181625,110.99808776268269,75.17132011588338,11.3846619046852,0.0033770161122083,0.5726101113464683,0.85,0.85
base_q0_s1,PPCI,4,0.85,1000,50,0.935,0.008949974347244,0.0632858755238191,-0.0176093402376743,0.4952103382997389,0.4864290798207134,1.9068019928971964,0.4951447855466012,1.0,,,,,49.97069427182144,121.23229593394446,99.69308497502692,11.38797388382256,0.0033768645813688,0.5727755587724969,0.7,0.7
base_q0_s1,PPCI,5,0.85,1000,50,0.926,0.0093938755558706,0.0664247310717866,0.0148340257161706,0.46593328705916,0.452274640938579,1.7729165924792296,0.4659301133661002,1.0,,,,,43.18369165248726,105.67481759219592,83.75314816031559,11.3816378422454,0.0033766724327579,0.572458564545028,0.7,0.85
base_q0_s1,PPCI,6,0.85,1000,50,0.932,0.008893932809299,0.0628896020087289,-0.0024191576931764,0.4381563956856195,0.4262647108561984,1.670957666556298,0.4383689565860784,1.0,,,,,43.38858439350383,94.23886178367864,61.5024553690859,11.26392232492566,0.0033750874083489,0.566571203654632,0.85,0.7
base_q0_s1,PPCI,7,0.85,1000,50,0.932,0.0081766217264309,0.0578174466995658,-0.0225763178987962,0.431438790068594,0.4055744166807727,1.5898517133886287,0.431063284218206,1.0,,,,,40.93495569520524,86.17936199465777,55.00859783940835,11.286751673445105,0.0033778209043666,0.567715404576622,0.85,0.85
base_q0_s1,PPCI++,0,0.7,1000,50,0.934,0.0074833147735478,0.0529150262212918,-0.0096936232462666,0.3402483516868033,0.3152909679378429,1.235940594316344,0.3402804215043898,0.0783688785939511,0.2136,0.0491988728794872,0.0410306878325269,0.1611793016821172,46.77989174345072,46.37764016849081,148.24295697506645,11.370885759796948,0.0015373961189761,0.5700816841088235,0.7,0.7
base_q0_s1,PPCI++,1,0.7,1000,50,0.938,0.0069340920568637,0.0490314351478014,-0.0238862822986476,0.3197946380139849,0.3030330839715681,1.1878896891685466,0.3190608968148891,0.0825393217180616,0.2104,0.0518950148696047,0.041526462486718,0.1679159671870401,43.78636061864083,43.24989458952597,119.42315855775614,11.36372777696699,0.0015377603778615,0.5697241492262111,0.7,0.85
